cutoff,variant,scope,bias_qty_delta,abs_bias_delta,mae_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,conservative_total_guarded_profile,all_sku_days_full_reconstructed_demand,839.4991425668015,-839.4991425668015,0.002520645700484714,-389.44006705793436,450.0590755088706
2026-06-21,conservative_total_guarded_profile,clean_sku_days_observed_sales,705.3971108961393,705.3971108961393,-0.0005668431243108785,-359.4037427655494,345.9933681305847
2026-06-21,conservative_total_guarded_profile,adjusted_pairs_clean_sku_days,518.2193008743961,-518.2193008743961,0.013440230145299381,-235.46156549654552,282.75773537785244
2026-06-21,conservative_total_guarded_profile,stockout_sku_days_observed_lower_bound,134.10203167066345,134.10203167066345,0.23254392184494854,-21.588679114644037,112.51335255601884
2026-06-21,conservative_total_guarded_profile,stockout_sku_days_conservative_target,134.10203167066356,-134.10203167066356,0.19356974683336503,-29.208130329408505,104.89390134125438
2026-06-21,conservative_total_guarded_profile,stockout_sku_days_full_point,134.1020316706631,-134.1020316706631,0.18933346057779765,-30.036324292371773,104.06570737829111
2026-07-05,conservative_total_observed_profile,all_sku_days_observed_sales,826.6664126812452,-826.6664126812452,0.028330221408079836,-107.62178712601599,719.0446255552233
2026-07-05,conservative_total_observed_profile,all_sku_days_conservative_demand,826.6664126812448,-826.6664126812448,0.027962280546891094,-111.59223695912806,715.0741757220967
2026-07-05,conservative_total_observed_profile,all_sku_days_full_reconstructed_demand,826.6664126812448,-826.6664126812448,0.02797665536901306,-111.43711825362698,715.2292944276269
2026-07-05,conservative_total_observed_profile,clean_sku_days_observed_sales,783.1954207935946,-783.1954207935946,0.027214123538988666,-103.22325031588844,679.9721704777039
2026-07-05,conservative_total_observed_profile,adjusted_pairs_clean_sku_days,497.54416311923706,497.54416311923706,0.0892094187579584,-61.833744552313874,435.7104185669159
2026-07-05,conservative_total_observed_profile,stockout_sku_days_observed_lower_bound,43.47099188765003,43.47099188765003,0.08913603667707015,-4.398536810135056,39.07245507751486
2026-07-05,conservative_total_observed_profile,stockout_sku_days_conservative_target,43.47099188765014,-43.47099188765014,0.06872241285643277,-8.368986643248718,35.102005244401425
2026-07-05,conservative_total_observed_profile,stockout_sku_days_full_point,43.47099188765014,-43.47099188765014,0.06951993833463987,-8.213867937737632,35.25712394991251
2026-07-05,observed_total_conservative_profile,all_sku_days_observed_sales,0.0,0.0,-0.03638651263956394,-392.6468578935019,-392.6468578935019
2026-07-05,observed_total_conservative_profile,all_sku_days_conservative_demand,0.0,0.0,-0.03855797470464051,-416.0791050377884,-416.0791050377884
2026-07-05,observed_total_conservative_profile,all_sku_days_full_reconstructed_demand,0.0,0.0,-0.03903636256466214,-421.24138843528635,-421.2413884352718
2026-07-05,observed_total_conservative_profile,clean_sku_days_observed_sales,-408.1513386114193,408.1513386114193,-0.04371380004065273,-259.1376128250413,-667.2889514364797
2026-07-05,observed_total_conservative_profile,adjusted_pairs_clean_sku_days,1284.1376145677878,1284.1376145677878,0.032037539286219996,-574.9341437096155,709.2034708581632
2026-07-05,observed_total_conservative_profile,stockout_sku_days_observed_lower_bound,408.1513386114194,408.1513386114194,0.36280937911181077,-133.50924506846263,274.6420935429569
2026-07-05,observed_total_conservative_profile,stockout_sku_days_conservative_target,408.1513386114194,-408.1513386114194,0.24233510073508313,-156.9414922127362,251.20984639868243
2026-07-05,observed_total_conservative_profile,stockout_sku_days_full_point,408.1513386114193,-408.1513386114193,0.21579379792021847,-162.10377561022779,246.04756300119197
2026-07-05,conservative_total_conservative_profile,all_sku_days_observed_sales,826.6664126812448,-826.6664126812448,-0.0075659395133396146,-494.9772596290568,331.6891530521825
2026-07-05,conservative_total_conservative_profile,all_sku_days_conservative_demand,826.6664126812439,-826.6664126812439,-0.010030353144506066,-521.570747122998,305.09566555822676
2026-07-05,conservative_total_conservative_profile,all_sku_days_full_reconstructed_demand,826.666412681243,-826.666412681243,-0.010524330752055278,-526.9012594860687,299.7651531951997
2026-07-05,conservative_total_conservative_profile,clean_sku_days_observed_sales,373.47371455227903,-373.47371455227903,-0.016094084877335213,-357.2778276788158,16.195886873450945
2026-07-05,conservative_total_conservative_profile,adjusted_pairs_clean_sku_days,1791.8835429149585,1791.8835429149585,0.12525615747370367,-633.467493471333,1158.416049443622
2026-07-05,conservative_total_conservative_profile,stockout_sku_days_observed_lower_bound,453.1926981289663,453.1926981289663,0.4570535584279707,-137.69943195024257,315.4932661787234
2026-07-05,conservative_total_conservative_profile,stockout_sku_days_conservative_target,453.1926981289664,-453.1926981289664,0.32032611629971264,-164.29291944418856,288.8997786847774
2026-07-05,conservative_total_conservative_profile,stockout_sku_days_full_point,453.1926981289664,-453.1926981289664,0.29291988307063654,-169.62343180724474,283.56926632172144
2026-07-05,conservative_total_guarded_profile,all_sku_days_observed_sales,826.6664126812439,-826.6664126812439,-0.03932079521713838,-837.6439075287344,-10.977494847495109
2026-07-05,conservative_total_guarded_profile,all_sku_days_conservative_demand,826.6664126812439,-826.6664126812439,-0.041686822784878785,-863.1757110122562,-36.50929833101691
2026-07-05,conservative_total_guarded_profile,all_sku_days_full_reconstructed_demand,826.666412681243,-826.666412681243,-0.04211612301341372,-867.8082897783752,-41.14187709712132
2026-07-05,conservative_total_guarded_profile,clean_sku_days_observed_sales,472.2576573614242,-472.2576573614242,-0.042517856108938545,-686.6692909390695,-214.4116335776489
2026-07-05,conservative_total_guarded_profile,adjusted_pairs_clean_sku_days,1511.4366179287845,1511.4366179287845,0.03140497050555169,-689.9091932700067,821.5274246587724
2026-07-05,conservative_total_guarded_profile,stockout_sku_days_observed_lower_bound,354.4087553198202,354.4087553198202,0.13485738339451991,-150.97461658967586,203.4341387301438
2026-07-05,conservative_total_guarded_profile,stockout_sku_days_conservative_target,354.4087553198201,-354.4087553198201,0.0035884708828533007,-176.50642007319493,177.90233524662494
2026-07-05,conservative_total_guarded_profile,stockout_sku_days_full_point,354.4087553198201,-354.4087553198201,-0.020229414804093793,-181.13899883930662,173.26975648051325
