variant,scope,sku_days,target_qty,predicted_qty,bias_qty,mean_bias,mae,underforecast_qty,overforecast_qty,cutoff
conservative_total_observed_profile,stockout_sku_days_full_point,389,8417.85903447962,6502.492048562088,-1915.366985917532,-4.923822585906252,14.304089053446177,3739.8288138540474,1824.4618279365154,2026-07-05
observed_total_conservative_profile,all_sku_days_observed_sales,21502,173850.86000000002,170099.08642207045,-3751.7735779295685,-0.17448486549760805,6.550211354483379,72297.2090610156,68545.43548308604,2026-07-05
observed_total_conservative_profile,clean_sku_days_observed_sales,21113,167924.86000000002,163231.9140267846,-4692.945973215426,-0.22227755284494985,6.45249611013524,70462.24817325038,65769.30220003494,2026-07-05
observed_total_conservative_profile,adjusted_pairs_clean_sku_days,4191,75163.0,86664.44313841677,11501.443138416773,2.7443195271812866,13.51126157293805,22562.1270568833,34063.57019530007,2026-07-05
observed_total_conservative_profile,stockout_sku_days_observed_lower_bound,389,5926.0,6867.172395285857,941.1723952858572,2.419466311788836,11.85371252137867,1834.9608877652227,2776.13328305108,2026-07-05
observed_total_conservative_profile,stockout_sku_days_conservative_target,389,7756.665946739336,6867.172395285857,-889.4935514534778,-2.2866158135050845,13.717597960276008,3112.819579000422,2223.326027546944,2026-07-05
observed_total_conservative_profile,stockout_sku_days_full_point,389,8417.85903447962,6867.172395285857,-1550.6866391937629,-3.986340974791164,14.450362913031755,3585.9389061815573,2035.2522669877949,2026-07-05
conservative_total_conservative_profile,all_sku_days_observed_sales,21502,173850.86000000002,170925.75283475168,-2925.107165248325,-0.13603884128212843,6.579139156976642,72194.87865928005,69269.77149403172,2026-07-05
conservative_total_conservative_profile,clean_sku_days_observed_sales,21113,167924.86000000002,164013.53907994827,-3911.3209200517276,-0.18525652062955184,6.480220480118481,70364.1079583966,66452.78703834488,2026-07-05
conservative_total_conservative_profile,adjusted_pairs_clean_sku_days,4191,75163.0,87172.18906676394,12009.189066763944,2.8654710252359683,13.604480191125534,22503.59370712158,34512.78277388553,2026-07-05
conservative_total_conservative_profile,stockout_sku_days_observed_lower_bound,389,5926.0,6912.213754803404,986.2137548034041,2.5352538683892134,11.94795670069483,1830.7707008834427,2816.9844556868466,2026-07-05
conservative_total_conservative_profile,stockout_sku_days_conservative_target,389,7756.665946739336,6912.213754803404,-844.4521919359308,-2.1708282569047066,13.795588975840637,3105.4681517689696,2261.015959833039,2026-07-05
conservative_total_conservative_profile,stockout_sku_days_full_point,389,8417.85903447962,6912.213754803404,-1505.6452796762158,-3.870553418190786,14.527488998182173,3578.4192499845403,2072.7739703083244,2026-07-05
conservative_total_guarded_profile,all_sku_days_observed_sales,21575,173850.86000000002,170925.75283475168,-2925.107165248325,-0.13557854763607533,6.525113179954226,71852.21201138035,68927.10484613205,2026-07-05
conservative_total_guarded_profile,clean_sku_days_observed_sales,21186,167924.86000000002,164112.32302275742,-3812.536977242583,-0.17995548840000863,6.431459266167759,70034.71649513637,66222.17951789378,2026-07-05
conservative_total_guarded_profile,adjusted_pairs_clean_sku_days,4184,75163.0,86891.74214177778,11728.74214177777,2.8032366495644765,13.533232828973134,22447.152007322908,34175.89414910068,2026-07-05
conservative_total_guarded_profile,stockout_sku_days_observed_lower_bound,389,5926.0,6813.429811994259,887.429811994258,2.2813105706793264,11.625760525661379,1817.4955162440094,2704.925328238267,2026-07-05
conservative_total_guarded_profile,stockout_sku_days_conservative_target,389,7756.665946739336,6813.429811994259,-943.2361347450772,-2.424771554614594,13.478851330423778,3093.2546511399632,2150.0185163948863,2026-07-05
conservative_total_guarded_profile,stockout_sku_days_full_point,389,8417.85903447962,6813.429811994259,-1604.429222485362,-4.124496715900674,14.214339700307443,3566.9036829524784,1962.4744604671162,2026-07-05
