variant,product_id,is_stockout_sku_day,sku_days,net_prediction_delta,positive_prediction_delta,product_name
conservative_total_conservative_profile,10239,False,25,0.38139247543732996,0.409118147695086,Чай зел жасмин стандарт
conservative_total_conservative_profile,10798,False,192,-0.5087315893391392,0.4090661972860259,Блины с курицей вес сеть
conservative_total_conservative_profile,11543,False,28,-1.1837517593831186,0.40676290311276797,Капучино 300 СК
conservative_total_conservative_profile,11442,False,51,-1.887018892673439,0.40401100711585725,Кукис Малиновый ЦП
conservative_total_conservative_profile,10426,True,8,-0.529679595376319,0.3625652467835507,Пирог Ханский
conservative_total_conservative_profile,11535,False,89,0.29883442596316645,0.36132442456640634,Солянка мясная сборная 300мл
conservative_total_conservative_profile,10638,False,117,-0.6885500340519353,0.35635205414029464,Картофель по-деревенски П вес сеть
conservative_total_conservative_profile,10427,False,143,-0.022859735937997366,0.35481159100762166,Котлеты куриные вес сеть
conservative_total_conservative_profile,1311,False,25,0.0463705998307804,0.3484165427622008,Хлеб кусок
conservative_total_conservative_profile,11215,False,24,-1.7597147835232436,0.31642177525412124,Роллы Сливочные с креветкой
conservative_total_conservative_profile,10747,False,52,0.09586165704979462,0.30389978482266267,Сгущенка
conservative_total_conservative_profile,1388,False,12,0.3032266008164163,0.3032266008164163,Добрый 200 Мультифрукт
conservative_total_conservative_profile,11293,False,16,0.28751552130946856,0.2975850710341962,Жар Киш зел лук
conservative_total_conservative_profile,11251,True,14,-1.8987081537198747,0.29517198984650783,ЖарПицца с салями
conservative_total_conservative_profile,10500,False,164,0.07628093659309783,0.2871482132351827,Добрый Лимон Лайм 500
conservative_total_conservative_profile,10358,False,153,-0.1802422929663654,0.27435929631869993,Салат Светофор вес сеть
conservative_total_conservative_profile,10963,False,39,0.08417797190122969,0.25388880682799486,Печенье Праздничное имбирное
conservative_total_conservative_profile,11222,False,32,-1.7894631758541861,0.25383998531444535,Вишневый Пай
conservative_total_conservative_profile,10703,False,110,0.07505049118265672,0.2518822190616141,Добрый Кола газ 300
conservative_total_conservative_profile,10207,False,132,0.11657899440115631,0.24115688404035912,Салат по-ирански весовой
conservative_total_conservative_profile,10410,False,143,0.07851059748112986,0.22881280361171513,Салат Наслаждение вес сеть
conservative_total_conservative_profile,11429,True,19,-1.486617122520935,0.2155597832407694,Сэндвич Мюнхенский
conservative_total_conservative_profile,10718,False,81,0.19830651397757443,0.2120047899530157,"Манго-Ананас,Клубника Холодный чай"
conservative_total_conservative_profile,11500,False,40,0.19196968826015226,0.21079150959598925,"Добрый 0,5л Дыня газ НОВИНКА"
conservative_total_conservative_profile,11542,False,28,-0.06225317261801033,0.2084241130098421,Капучино 200 СК
conservative_total_conservative_profile,10745,False,13,0.20684688466789747,0.20684688466789747,Конфитюр Вишня
conservative_total_conservative_profile,10776,False,18,0.19779625081951968,0.19779625081951968,Ржаной безд заварной Упак
conservative_total_conservative_profile,10770,False,28,-1.9939455582332197,0.18421211690736544,Батон нарезной Упак
conservative_total_conservative_profile,10780,False,24,0.1753019412232178,0.17773349577869407,Зерновой Упак
conservative_total_conservative_profile,10775,False,22,0.17715980216778093,0.17715980216778093,Домашний безд Упак
conservative_total_conservative_profile,10535,False,78,0.08349978978192163,0.16621882374494618,Гречка с овощами П вес сеть
conservative_total_conservative_profile,10628,False,41,0.03153739381679255,0.16175582438682728,Пицца с салями П
conservative_total_conservative_profile,10469,False,88,0.03611342181041349,0.16074847744467463,Макароны П вес сеть
