cutoff,variant,scope,wape_delta,sku_day_wape_delta,under_delta,over_delta
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,clean_sku_days,-0.0024746748383681627,-0.001807677742532432,-111.23179383455135,-194.31513944773178
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,adjusted_pairs_clean_sku_days,0.006953286963132355,0.006008442958313154,-204.9311595041181,483.4405159507951
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,stable_routing_clean_sku_days,-0.0024746748383681627,-0.001807677742532432,-111.23179383455135,-194.31513944773178
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,new_exact_routing_clean_sku_days,,,0.0,0.0
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,stable_tier1_membership_clean_sku_days,9.404063906037763e-05,-8.9321992180591e-05,-3.823514072879334,-10.836285323675838
cutoff_20260628,demand_adjusted_blend_0.25_guarded_routing,new_tier1_member_clean_sku_days,-0.08843784213867734,-0.11351941723585224,-240.32891112622792,-316.3994854886205
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,all_holdout,-0.0021690798779776532,-0.0015274376356445574,-132.82164269135683,-132.82164269134228
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,clean_bakery_days,-0.0034560325703807404,-7.613373994752592e-05,-0.8254327582617407,-0.8254327582617407
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,clean_sku_days,-0.002486880824788207,-0.001796944692065594,-110.2227606864326,-193.5099937863415
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,adjusted_pairs_clean_sku_days,0.006944167867668494,0.0061087549069298586,-202.8931147491203,486.0522309500411
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,stable_routing_clean_sku_days,-0.002486880824788207,-0.001796944692065594,-110.2227606864326,-193.5099937863415
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,new_exact_routing_clean_sku_days,,,0.0,0.0
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,stable_tier1_membership_clean_sku_days,8.382850979815615e-05,-7.789113942935355e-05,-2.9753657547407784,-9.808367018413264
cutoff_20260628,demand_adjusted_blend_0.5_guarded_routing,new_tier1_member_clean_sku_days,-0.08851677341169206,-0.11347292278398591,-240.02307201879512,-316.47730385502746
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,all_holdout,-0.0021780042231918095,-0.0015136429675866037,-131.62209749940666,-131.62209749940666
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,clean_bakery_days,-0.0034694666623307224,-6.730974776358867e-05,-0.7297641071199905,-0.7297641071181715
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,clean_sku_days,-0.0024982311862871143,-0.0017840591407923823,-109.03617603379826,-192.51856817615044
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,adjusted_pairs_clean_sku_days,0.006935377157262446,0.006208971640239591,-200.80916744443311,488.6136298844649
