date,bakery_id,bakery_name,product_id,product_name,category_name,dow,hourly_sold,daily_sold,qty_produced,stock_balance,is_inventory_stockout,is_reliable_inventory_stockout,balance_consistent,hourly_daily_sales_agree,last_sale_hour,normal_days,normal_daily_sold,normal_last_hour,bakery_sales_after_last,last_hour_gap,is_strong_temporal_stockout,stockout_group,forecast_qty,source_run_id,latest_generated_at,has_forecast,bias_qty,forecast_to_sales_ratio,bias_pct_of_sales,responsibility_group,confirmed_model_shortfall_qty,bakery_execution_gap_qty,forecast_headroom_over_observed_qty,production_to_forecast_ratio,bakery_actual_qty,bakery_forecast_qty,sku_forecast_total_qty,bakery_forecast_to_actual,bakery_volume_sufficient,observed_sku_share,forecast_sku_share,allocation_share_ratio,diagnosis,pipeline_regime,actual_bakery,expected_actual_bakery,sigma_actual_bakery,reference_days_actual_bakery,actual_sku,expected_sold,sigma_sold,reference_days_sold,bakery_sigma,bakery_gap,bakery_ratio,bakery_gap_z,sku_gap_estimate,substitution_qty,substitution_ratio,substitution_ratio_capped,case_type,case_confidence,robust_case_type,review_order
2026-06-12,222,Габдуллы Тукая 62А Казань,11301,Клубника и банан НОВЫЙ,Пироги сладкие,4,2.0,2.0,3.0,1.0,True,True,True,True,10.0,10.0,0.5,16.0,236.734,6.0,True,clear_stockout,0.8104298695303175,backfill_base_bakery_no_sku_uplift_20260612_h1,2026-07-01 15:55:37.586000+03:00,True,-1.1895701304696824,0.4052149347651587,-59.47850652348412,confirmed_model_underforecast,1.1895701304696824,0.0,-1.1895701304696824,3.7017391791576513,423.234,612.0019826376304,612.0019826376301,1.446013275487391,True,0.0047255182712163,0.0013242275229852,0.2802290557315788,allocation_failure_likely,base_no_sku_uplift,423.234,1065.701,59.487337095385286,5,2.0,1.0,1.5165750888103102,5,59.487337095385286,642.4670000000001,0.39714141208462783,10.800063196135893,1.1895701304696824,0.0,0.0,0.0,demand_loss,1.0,demand_loss,
2026-06-12,222,Габдуллы Тукая 62А Казань,4424,Жар Киш курица,Пироги сытные,4,2.0,2.0,2.0,0.0,True,True,True,True,11.0,4.0,1.5,13.5,198.62,2.5,True,clear_stockout,1.0434070676131688,backfill_base_bakery_no_sku_uplift_20260612_h1,2026-07-01 15:55:37.586000+03:00,True,-0.9565929323868312,0.5217035338065844,-47.82964661934156,confirmed_model_underforecast,0.9565929323868312,0.0,-0.9565929323868312,1.9167974437580453,423.234,612.0019826376304,612.0019826376301,1.446013275487391,True,0.0047255182712163,0.0017049079859451,0.3607875132617575,allocation_failure_likely,base_no_sku_uplift,423.234,1065.701,59.487337095385286,5,2.0,1.0,1.3038404810405297,5,59.487337095385286,642.4670000000001,0.39714141208462783,10.800063196135893,0.9565929323868312,0.0,0.0,0.0,demand_loss,1.0,demand_loss,
2026-07-05,107,Четаева 46А Казань,10667,Элеш с курицей,Выпечка сытная,6,25.0,25.0,25.0,0.0,True,True,True,True,14.0,3.0,21.0,18.0,215.092,4.0,True,clear_stockout,22.24305092777212,backfill_base_bakery_raw_uplift_sku_rollingbias_20260705_h1,2026-07-16 17:00:54.802000+03:00,True,-2.75694907222788,0.8897220371108848,-11.027796288911516,confirmed_model_underforecast,2.75694907222788,0.0,-2.75694907222788,1.1239465341863522,740.3919999999999,861.9060310679986,861.9090138755353,1.164121210207564,True,0.0337658969843002,0.0258067273571687,0.7642837792571554,allocation_failure_likely,raw_uplift_pre_cap_haircut,740.392,1070.827,138.29954265578755,6,25.0,25.0,4.3089055068157,6,138.29954265578755,330.43499999999995,0.6914207430331885,2.3892703739622374,2.75694907222788,0.0,0.0,0.0,demand_loss,0.6865638317256606,demand_loss,
2026-07-05,107,Четаева 46А Казань,1845,Киш грибы курица,Выпечка сытная,6,11.0,10.0,10.0,0.0,True,True,True,True,13.0,3.0,5.0,20.0,258.592,7.0,True,clear_stockout,8.19854317332575,backfill_base_bakery_raw_uplift_sku_rollingbias_20260705_h1,2026-07-16 17:00:54.802000+03:00,True,-1.8014568266742508,0.819854317332575,-18.014568266742508,confirmed_model_underforecast,1.8014568266742508,0.0,-1.8014568266742508,1.2197288943400768,740.3919999999999,861.9060310679986,861.9090138755353,1.164121210207564,True,0.01350635879372,0.0095120749885899,0.7042664224952125,allocation_failure_likely,raw_uplift_pre_cap_haircut,740.392,1070.827,138.29954265578755,6,11.0,8.5,2.581988897471611,6,138.29954265578755,330.43499999999995,0.6914207430331885,2.3892703739622374,1.8014568266742508,0.0,0.0,0.0,demand_loss,0.6865638317256606,demand_loss,
2026-07-05,20,Мира 45 Дербышки Казань,10965,Трехслойник НОВЫЙ,Пироги сладкие,6,5.0,5.0,4.0,-1.0,True,True,True,True,12.0,4.0,2.5,15.0,127.5,3.0,True,clear_stockout,3.193094253490808,backfill_base_bakery_raw_uplift_sku_rollingbias_20260705_h1,2026-07-16 17:00:54.802000+03:00,True,-1.806905746509192,0.6386188506981616,-36.138114930183846,confirmed_model_underforecast,1.806905746509192,0.0,-1.806905746509192,1.2527033912722911,326.5,384.3914513873375,381.9744025987724,1.1773091926105284,True,0.0153139356814701,0.0083594456376304,0.5458718001372689,allocation_failure_likely,raw_uplift_pre_cap_haircut,326.5,450.75,56.71419575379695,6,5.0,4.0,1.632993161855452,6,56.71419575379695,124.25,0.7243483083749307,2.1908095204132665,1.806905746509192,0.0,0.0,0.0,demand_loss,0.6478255195589051,demand_loss,
2026-07-02,107,Четаева 46А Казань,1844,Киш курица,Выпечка сытная,3,21.0,20.0,20.0,0.0,True,True,True,True,16.0,3.0,17.0,20.0,281.322,4.0,True,clear_stockout,17.247126861977602,backfill_base_bakery_raw_uplift_sku_rollingbias_20260702_h1,2026-07-16 16:42:25.904000+03:00,True,-2.752873138022398,0.8623563430988801,-13.76436569011199,confirmed_model_underforecast,2.752873138022398,0.0,-2.752873138022398,1.15961343359115,1204.5479999999998,1233.3923061991295,1233.3948629767883,1.0239461658639837,True,0.0166037384977601,0.0139834592957131,0.8421873963866333,allocation_failure_likely,raw_uplift_pre_cap_haircut,1204.548,1648.855,214.15462241660808,6,21.0,23.5,11.541230437002806,6,214.15462241660808,444.307,0.730536038644999,2.074701890560468,3.5,0.0,0.0,0.0,demand_loss,0.6405458368882364,demand_loss,
2026-07-02,107,Четаева 46А Казань,10909,Корзинка ягодная,Выпечка сладкая,3,10.0,10.0,10.0,0.0,True,True,True,True,16.0,4.0,7.0,20.0,281.322,4.0,True,clear_stockout,8.3677338485259,backfill_base_bakery_raw_uplift_sku_rollingbias_20260702_h1,2026-07-16 16:42:25.904000+03:00,True,-1.6322661514741004,0.83677338485259,-16.322661514741004,confirmed_model_underforecast,1.6322661514741004,0.0,-1.6322661514741004,1.195066690817568,1204.5479999999998,1233.3923061991295,1233.3948629767883,1.0239461658639837,True,0.00830186924888,0.0067843106045783,0.8172027770123654,allocation_failure_likely,raw_uplift_pre_cap_haircut,1204.548,1648.855,214.15462241660808,6,10.0,11.0,3.2506409624359724,6,214.15462241660808,444.307,0.730536038644999,2.074701890560468,1.6322661514741004,0.0,0.0,0.0,demand_loss,0.6405458368882364,demand_loss,
2026-06-09,107,Четаева 46А Казань,11474,Маковка,Выпечка сладкая,1,10.0,10.0,10.0,0.0,True,True,True,True,16.0,3.0,8.0,19.0,335.75,3.0,True,clear_stockout,7.046182378611692,backfill_base_bakery_no_sku_uplift_20260609_h1,2026-07-01 15:50:39.814000+03:00,True,-2.953817621388308,0.7046182378611692,-29.53817621388308,confirmed_model_underforecast,2.953817621388308,0.0,-2.953817621388308,1.419208226905177,1313.0679999999995,1467.5451435310044,1467.5451435310042,1.1176459585725986,True,0.0076157518117873,0.0048013394406785,0.6304485176692916,allocation_failure_likely,base_no_sku_uplift,1313.068,1766.048,205.14825855951102,5,10.0,10.0,5.890670590009257,5,205.14825855951102,452.98,0.7435064052619181,2.208061638839581,2.953817621388308,0.0,0.0,0.0,demand_loss,0.6252865820448021,demand_loss,
2026-06-09,107,Четаева 46А Казань,11473,Сметанник маковый,Пироги сладкие,1,2.0,2.0,3.0,1.0,True,True,True,True,9.0,6.0,1.5,13.0,1080.912,4.0,True,clear_stockout,0.0,,,False,-2.0,0.0,-100.0,confirmed_model_underforecast,2.0,0.0,-2.0,,1313.0679999999995,1467.5451435310044,1467.5451435310042,1.1176459585725986,True,0.0015231503623574,0.0,0.0,missing_or_near_zero_sku,base_no_sku_uplift,1313.068,1766.048,205.14825855951102,5,2.0,2.0,1.9493588689617927,5,205.14825855951102,452.98,0.7435064052619181,2.208061638839581,2.0,0.0,0.0,0.0,demand_loss,0.6252865820448021,demand_loss,
2026-06-13,21,Парковая 7 Казань,100,Губадия,Пироги сладкие,5,12.0,12.0,8.0,-4.0,True,True,True,True,18.0,3.0,4.0,20.0,63.581,2.0,True,clear_stockout,6.410116243545247,backfill_base_bakery_no_sku_uplift_20260613_h1,2026-07-01 15:57:20.634000+03:00,True,-5.589883756454753,0.5341763536287706,-46.58236463712294,confirmed_model_underforecast,5.589883756454753,0.0,-5.589883756454753,1.2480272893733726,1244.3189999999995,1359.964868619336,1359.9648686193354,1.0929390844464613,True,0.0096438292752903,0.004713442524477,0.4887521740512317,allocation_failure_likely,base_no_sku_uplift,1244.319,1671.442,134.94210129088697,5,12.0,9.0,1.51657508881031,5,134.94210129088697,427.12300000000005,0.7444583778557676,3.165231576461637,5.589883756454753,0.0,0.0,0.0,demand_loss,0.6241666142873322,demand_loss,
